DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01.01. 00:00
31.12. 23:30
Start_Year: 2020
Channel number,,,,,,,,,,,,,,
Sensor code,,,,,,,,,,,,,,
        Datum,    L,    K,   KR,   K15,   K30,   K60,  KR15,  KR30,  KR60,   L15,   L30,   L60,  batt
Units,,,,,,,,,,,,,,
Minimum value,,,,,,,,,,,,,,
Maximum value,,,,,,,,,,,,,,
18.08. 02:30 ,  0.0,  0.0,  0.0, 28.37, 19.55, 36.27, 21.34, 21.34, 33.57, 33.77, 18.41, 23.97, 12.67
18.08. 03:00 ,  0.0,  0.0,  0.0, 28.35, 19.50, 36.31, 21.34, 21.32, 33.57, 33.77, 18.41, 23.97, 12.67
18.08. 03:30 ,  0.0,  0.0,  0.0, 28.32, 19.46, 36.27, 21.32, 21.27, 33.54, 33.74, 18.39, 23.97, 12.67
18.08. 04:00 ,  0.0,  0.0,  0.0, 28.32, 19.41, 36.23, 21.29, 21.25, 33.54, 33.71, 18.36, 23.95, 12.66
18.08. 04:30 ,  0.0,  0.0,  0.0, 28.30, 19.36, 36.23, 21.29, 21.20, 33.54, 33.71, 18.34, 23.95, 12.66
18.08. 05:00 ,  0.0,  0.0,  0.0, 28.27, 19.32, 36.20, 21.29, 21.15, 33.51, 33.68, 18.32, 23.95, 12.66
18.08. 05:30 ,  0.0,  0.0,  0.0, 28.27, 19.27, 36.20, 21.27, 21.13, 33.51, 33.68, 18.32, 23.95, 12.67
18.08. 06:00 ,  0.0,  0.0,  0.0, 28.27, 19.22, 36.16, 21.27, 21.08, 33.51, 33.68, 18.29, 23.95, 12.66
18.08. 06:30 ,  0.0,  0.0,  0.0, 28.25, 19.18, 36.16, 21.25, 21.06, 33.51, 33.65, 18.27, 23.97, 12.66
18.08. 07:00 ,  0.0,  0.0,  0.0, 28.22, 19.15, 36.16, 21.22, 21.02, 33.48, 33.66, 18.25, 23.95, 12.67
18.08. 07:30 ,  0.0,  0.0,  0.0, 28.22, 19.11, 36.16, 21.22, 20.99, 33.48, 33.65, 18.25, 23.95, 12.66
18.08. 08:00 ,  0.0,  0.0,  0.1, 28.19, 19.06, 36.12, 21.20, 20.97, 33.46, 33.65, 18.22, 23.92, 12.66
18.08. 08:30 ,  0.0,  0.0,  0.0, 28.19, 19.04, 36.09, 21.18, 20.90, 33.46, 33.60, 18.20, 23.92, 12.66
18.08. 09:00 ,  0.0,  0.0,  0.0, 28.17, 18.99, 36.05, 21.15, 20.90, 33.46, 33.63, 18.18, 23.90, 12.66
18.08. 09:30 ,  0.0,  0.0,  0.0, 28.17, 18.94, 36.09, 21.15, 20.85, 33.46, 33.60, 18.18, 23.90, 12.66
18.08. 10:00 ,  0.0,  0.0,  0.0, 28.14, 18.90, 36.05, 21.13, 20.83, 33.46, 33.57, 18.15, 23.88, 12.66
18.08. 10:30 ,  0.0,  0.0,  0.0, 28.14, 18.87, 36.05, 21.13, 20.78, 33.43, 33.57, 18.15, 23.88, 12.65
18.08. 11:00 ,  0.3,  0.1,  0.0, 28.12, 18.83, 36.01, 21.11, 20.74, 33.43, 33.57, 18.11, -0.22, 12.66
18.08. 11:30 ,  0.0,  0.0,  0.0, 28.12, 18.78, 36.02, 21.08, 20.71, 33.43, 33.54, 18.11, -0.22, 12.66
18.08. 12:00 ,  0.0,  0.0,  0.0, 28.09, 18.76, 35.98, 21.08, 20.69, 33.40, 33.54, 18.06, -0.22, 12.67
18.08. 12:30 ,  0.0,  0.0,  0.0, 28.07, 18.73, 35.94, 21.08, 20.67, 33.40, 33.51, 18.06, -0.22, 12.66
18.08. 13:00 ,  0.0,  0.0,  0.0, 28.09, 18.69, 35.94, 21.04, 20.67, 33.40, 33.48, 18.04, -0.22, 12.66
18.08. 13:30 ,  0.0,  0.0,  0.0, 28.07, 18.66, 35.94, 21.02, 20.60, 33.40, 33.48, 17.99, -0.22, 12.66
18.08. 14:00 ,  0.0,  0.0,  0.0, 28.04, 18.64, 35.91, 20.99, 20.60, 33.37, 33.43, 17.99, -0.22, 12.66
18.08. 14:30 ,  0.0,  0.0,  0.0, 28.04, 18.59, 35.91, 20.97, 20.55, 33.34, 33.43, 17.97, -0.22, 12.67
18.08. 15:00 ,  0.0,  0.0,  0.0, 28.04, 18.55, 35.87, 20.97, 20.53, 33.37, 33.43, 17.94, -0.22, 12.67
18.08. 15:30 ,  0.0,  0.0,  0.0, 28.02, 18.52, 35.87, 20.95, 20.50, 33.34, 33.40, 17.92, -0.22, 12.67
18.08. 16:00 ,  0.0,  0.0,  0.0, 28.02, 18.48, 35.83, 20.92, 20.48, 33.31, 33.40, 17.90, -0.22, 12.68
18.08. 16:30 ,  0.0,  0.0,  0.0, 27.99, 18.48, 35.83, 20.90, 20.46, 33.34, 33.40, 17.87, -0.22, 12.67
18.08. 17:00 ,  0.0,  0.0,  0.0, 27.99, 18.43, 35.83, 20.88, 20.43, 33.31, 33.37, 17.87, -0.22, 12.67
18.08. 17:30 ,  0.0,  0.0,  0.0, 27.99, 18.41, 35.80, 20.88, 20.41, 33.31, 33.34, 17.85, -0.22, 12.68
18.08. 18:00 ,  0.0,  0.0,  0.0, 27.96, 18.39, 35.80, 20.85, 20.36, 33.29, 33.34, 17.80, -0.22, 12.69
18.08. 18:30 ,  0.0,  0.0,  0.0, 27.94, 18.34, 35.80, 20.83, 20.34, 33.26, 33.31, 17.80, -0.22, 12.68
18.08. 19:00 ,  0.0,  0.0,  0.0, 27.94, 18.29, 35.80, 20.81, 20.32, 33.26, 33.34, 17.78, -0.22, 12.68
18.08. 19:30 ,  0.0,  0.0,  0.0, 27.94, 18.27, 35.72, 20.81, 20.29, 33.26, 33.31, 17.78, -0.22, 12.68
18.08. 20:00 ,  2.4,  2.2,  1.8, 27.91, 18.25, 35.76, 20.78, 20.29, 33.26, 33.29, 17.73, -0.22, 12.69
18.08. 20:30 ,  1.3,  1.2,  1.5, 27.91, 18.22, 35.72, 21.36, 20.22, 33.26, 33.31, 17.73, -0.22, 12.68
18.08. 21:00 ,  0.0,  0.0,  0.0, 27.99, 18.20, 35.69, 22.09, 20.22, 33.23, 33.37, 17.73, 23.69, 12.67
18.08. 21:30 ,  1.7,  1.4,  1.1, 28.12, 18.15, 35.72, 22.48, 20.18, 33.20, 33.43, 17.71, 23.69, 12.68
18.08. 22:00 ,  0.1,  0.0,  0.2, 28.27, 18.15, 35.69, 23.09, 20.13, 33.20, 33.48, 17.69, 23.67, 12.67
18.08. 22:30 ,  0.0,  0.0,  0.1, 28.53, 18.15, 35.65, 23.16, 20.15, 33.17, 33.57, 17.71, 23.64, 12.67
18.08. 23:00 ,  0.0,  0.1,  0.0, 28.73, 18.18, 35.65, 23.16, 20.11, 33.17, 33.65, 17.73, 23.64, 12.67
18.08. 23:30 ,  0.0,  0.0,  0.0, 28.89, 18.22, 35.65, 23.06, 20.11, 33.17, 33.74, 17.78, 23.64, 12.67
19.08. 00:00 ,  0.1,  0.1,  0.0, 28.96, 18.34, 35.61, 23.02, 20.11, 33.14, 33.80, 17.85, 23.62, 12.66
19.08. 00:30 ,  0.1,  0.0,  0.1, 28.99, 18.45, 35.61, 22.99, 20.11, 33.14, 33.88, 17.92, 23.64, 12.66
19.08. 01:00 ,  0.0,  0.1,  0.1, 29.01, 18.57, 35.58, 22.95, 20.11, 33.11, 33.94, 18.01, 23.64, 12.66
19.08. 01:30 ,  0.0,  0.0,  0.0, 29.01, 18.69, 35.61, 22.90, 20.11, 33.14, 34.00, 18.04, 23.64, 12.66
19.08. 02:00 ,  0.0,  0.0,  0.0, 29.04, 18.78, 35.58, 22.85, 20.15, 33.11, 34.05, 18.08, 23.64, 12.66
19.08. 02:30 ,  0.0,  0.0,  0.0, 29.04, 18.87, 35.58, 22.81, 20.18, 33.11, 34.05, 18.11, 23.64, 12.66
19.08. 03:00 ,  0.0,  0.0,  0.0, 29.04, 18.97, 35.58, 22.74, 20.20, 33.09, 34.11, 18.15, 23.67, 12.66
19.08. 03:30 ,  0.0,  0.0,  0.0, 29.04, 19.01, 35.58, 22.71, 20.22, 33.09, 34.14, 18.15, 23.67, 12.66
19.08. 04:00 ,  0.0,  0.0,  0.0, 29.01, 19.06, 35.58, 22.64, 20.27, 33.06, 34.14, 18.20, 23.69, 12.66
19.08. 04:30 ,  0.0,  0.0,  0.1, 29.01, 19.11, 35.54, 22.60, 20.29, 33.09, 34.17, 18.22, 23.69, 12.66
19.08. 05:00 ,  0.0,  0.0,  0.0, 28.99, 19.15, 35.50, 22.55, 20.34, 33.06, 34.20, 18.25, 23.71, 12.66
19.08. 05:30 ,  0.0,  0.0,  0.0, 28.99, 19.18, 35.50, 22.53, 20.36, 33.09, 34.17, 18.27, 23.71, 12.67
19.08. 06:00 ,  0.0,  0.0,  0.0, 28.96, 19.20, 35.54, 22.48, 20.39, 33.06, 34.22, 18.29, 23.71, 12.66
19.08. 06:30 ,  0.0,  0.0,  0.0, 28.96, 19.22, 35.54, 22.43, 20.41, 33.06, 34.22, 18.27, 23.71, 12.66
19.08. 07:00 ,  0.0,  0.0,  0.0, 28.96, 19.25, 35.54, 22.39, 20.43, 33.06, 34.20, 18.29, 23.71, 12.66
19.08. 07:30 ,  0.0,  0.0,  0.0, 28.94, 19.22, 35.54, 22.34, 20.46, 33.06, 34.22, 18.32, 23.74, 12.65
19.08. 08:00 ,  0.0,  0.0,  0.0, 28.94, 19.25, 35.54, 22.34, 20.50, 33.06, 34.22, 18.32, 23.74, 12.65
19.08. 08:30 ,  0.1,  0.0,  0.0, 28.91, 19.22, 35.54, 22.27, 20.50, 33.06, 34.22, 18.32, 23.76, 12.65
19.08. 09:00 ,  0.0,  0.0,  0.0, 28.89, 19.22, 35.58, 22.25, 20.53, 33.06, 34.22, 18.32, 23.76, 12.66
19.08. 09:30 ,  0.0,  0.0,  0.0, 28.91, 19.22, 35.58, 22.23, 20.55, 33.06, 34.22, 18.32, 23.76, 12.65
19.08. 10:00 ,  0.0,  0.0,  0.0, 28.89, 19.20, 35.54, 22.20, 20.57, 33.06, 34.25, 18.32, 23.76, 12.65
19.08. 10:30 ,  0.0,  0.0,  0.0, 28.89, 19.20, 35.58, 22.16, 20.57, 33.03, 34.22, 18.32, 23.78, 12.66
19.08. 11:00 ,  0.0,  0.0,  0.0, 28.83, 19.20, 35.54, 22.13, 20.57, 33.03, 34.22, 18.32, 23.78, 12.65
19.08. 11:30 ,  0.0,  0.0,  0.0, 28.83, 19.20, 35.54, 22.09, 20.60, 33.03, 34.22, 18.29, 23.81, 12.65
19.08. 12:00 ,  0.0,  0.0,  0.0, 28.83, 19.18, 35.54, 22.09, 20.60, 33.03, 34.20, 18.32, 23.78, 12.65
19.08. 12:30 ,  0.0,  0.0,  0.0, 28.83, 19.15, 35.54, 22.06, 20.60, 33.03, 34.20, 18.29, 23.81, 12.66
19.08. 13:00 ,  0.0,  0.0,  0.0, 28.81, 19.15, 35.58, 21.99, 20.60, 33.03, 34.17, 18.29, 23.81, 12.65
19.08. 13:30 ,  0.0,  0.0,  0.0, 28.78, 19.13, 35.58, 21.97, 20.60, 33.03, 34.14, 18.29, 23.81, 12.65
19.08. 14:00 ,  0.0,  0.0,  0.0, 28.78, 19.11, 35.58, 21.95, 20.62, 33.06, 34.14, 18.27, 23.81, 12.66
19.08. 14:30 ,  0.0,  0.0,  0.0, 28.76, 19.08, 35.54, 21.92, 20.60, 33.06, 34.14, 18.27, 23.81, 12.65
19.08. 15:00 ,  0.0,  0.0,  0.0, 28.76, 19.08, 35.58, 21.90, 20.62, 33.06, 34.08, 18.25, 23.81, 12.66
19.08. 15:30 ,  0.0,  0.0,  0.0, 28.73, 19.06, 35.58, 21.90, 20.60, 33.03, 34.08, 18.25, 23.81, 12.66
19.08. 16:00 ,  0.0,  0.0,  0.0, 28.73, 19.04, 35.54, 21.83, 20.60, 33.03, 34.05, 18.22, 23.81, 12.66
19.08. 16:30 ,  0.0,  0.0,  0.0, 28.71, 19.01, 35.58, 21.83, 20.60, 33.03, 34.05, 18.20, 23.81, 12.67
19.08. 17:00 ,  0.0,  0.0,  0.0, 28.71, 18.99, 35.54, 21.76, 20.60, 33.03, 34.05, 18.20, 23.81, 12.66
19.08. 17:30 ,  0.0,  0.0,  0.0, 28.68, 18.99, 35.58, 21.74, 20.57, 33.03, 34.02, 18.18, 23.81, 12.67
19.08. 18:00 ,  0.0,  0.0,  0.0, 28.68, 18.94, 35.58, 21.71, 20.57, 33.03, 34.02, 18.18, 23.78, 12.67
19.08. 18:30 ,  0.0,  0.0,  0.0, 28.66, 18.92, 35.54, 21.69, 20.57, 33.03, 34.02, 18.18, 23.81, 12.67
19.08. 19:00 ,  0.0,  0.0,  0.0, 28.66, 18.90, 35.58, 21.67, 20.57, 33.03, 34.02, 18.15, 23.81, 12.67
19.08. 19:30 ,  0.0,  0.0,  0.0, 28.63, 18.87, 35.54, 21.64, 20.55, 33.00, 34.00, 18.15, 23.78, 12.67
19.08. 20:00 ,  0.0,  0.0,  0.0, 28.63, 18.85, 35.58, 21.62, 20.53, 33.00, 33.97, 18.15, 23.78, 12.67
19.08. 20:30 ,  0.0,  0.0,  0.0, 28.60, 18.83, 35.58, 21.60, 20.55, 33.03, 33.97, 18.11, 23.81, 12.67
19.08. 21:00 ,  0.0,  0.0,  0.0, 28.60, 18.80, 35.54, 21.57, 20.53, 33.03, 33.97, 18.13, 23.78, 12.67
19.08. 21:30 ,  0.0,  0.0,  0.0, 28.58, 18.80, 35.61, 21.53, 20.53, 33.00, 33.94, 18.11, 23.78, 12.67
19.08. 22:00 ,  0.0,  0.0,  0.0, 28.58, 18.78, 35.58, 21.50, 20.50, 33.00, 33.94, 18.08, 23.78, 12.66
19.08. 22:30 ,  0.0,  0.0,  0.0, 28.55, 18.76, 35.54, 21.48, 20.48, 33.00, 33.94, 18.08, 23.78, 12.67
19.08. 23:00 ,  0.0,  0.0,  0.0, 28.55, 18.73, 35.58, 21.48, 20.50, 33.00, 33.88, 18.08, 23.78, 12.67
19.08. 23:30 ,  0.0,  0.0,  0.0, 28.53, 18.69, 35.54, 21.43, 20.48, 33.00, 33.88, 18.08, 23.76, 12.66
20.08. 00:00 ,  0.0,  0.1,  0.0, 28.53, 18.69, 35.54, 21.41, 20.46, 33.00, 33.88, 18.06, 23.78, 12.66
20.08. 00:30 ,  0.1,  0.1,  0.0, 28.50, 18.66, 35.58, 21.39, 20.43, 33.00, 33.88, 18.06, 23.76, 12.66
20.08. 01:00 ,  0.0,  0.0,  0.0, 28.50, 18.64, 35.58, 21.39, 20.43, 33.00, 33.85, 18.04, 23.74, 12.66
20.08. 01:30 ,  0.0,  0.0,  0.0, 28.50, 18.62, 35.54, 21.36, 20.43, 33.00, 33.85, 18.04, 23.76, 12.67
20.08. 02:00 ,  0.0,  0.0,  0.0, 28.50, 18.59, 35.54, 21.34, 20.39, 33.00, 33.85, 18.04, 23.74, 12.66
20.08. 02:30 ,  0.0,  0.0,  0.0, 28.48, 18.55, 35.54, 21.32, 20.39, 32.97, 33.83, 18.04, 23.74, 12.66
20.08. 03:00 ,  0.0,  0.0,  0.0, 28.45, 18.55, 35.54, 21.32, 20.36, 32.97, 33.83, 18.01, 23.76, 12.66
20.08. 03:30 ,  0.0,  0.0,  0.0, 28.45, 18.52, 35.54, 21.29, 20.36, 32.97, 33.80, 17.99, 23.74, 12.66
20.08. 04:00 ,  0.0,  0.0,  0.0, 28.43, 18.48, 35.54, 21.29, 20.34, 32.94, 33.83, 18.01, 23.71, 12.66
20.08. 04:30 ,  0.0,  0.0,  0.0, 28.43, 18.48, 35.54, 21.27, 20.34, 32.94, 33.80, 17.97, 23.74, 12.66
20.08. 05:00 ,  0.0,  0.0,  0.0, 28.42, 18.45, 35.50, 21.25, 20.32, 32.97, 33.80, 17.97, 23.71, 12.66
20.08. 05:30 ,  0.0,  0.0,  0.0, 28.40, 18.43, 35.58, 21.22, 20.29, 32.97, 33.80, 17.94, 23.71, 12.66
20.08. 06:00 ,  0.4,  0.4,  0.0, 28.40, 18.41, 35.54, 21.25, 20.27, 32.94, 33.77, 17.94, 23.71, 12.66
20.08. 06:30 ,  0.0,  0.0,  0.0, 28.37, 18.39, 35.50, 21.20, 20.25, 32.97, 33.77, 17.94, 23.69, 12.66
20.08. 07:00 ,  0.0,  0.0,  0.0, 28.37, 18.34, 35.54, 21.20, 20.25, 32.94, 33.74, 17.92, 23.69, 12.66
20.08. 07:30 ,  0.0,  0.0,  0.0, 28.35, 18.34, 35.50, 21.20, 20.22, 32.94, 33.74, 17.90, 23.69, 12.66
20.08. 08:00 ,  0.0,  0.0,  0.0, 28.35, 18.32, 35.54, 21.20, 20.22, 32.94, 33.71, 17.90, 23.67, 12.66
20.08. 08:30 ,  0.0,  0.0,  0.0, 28.35, 18.29, 35.50, 21.20, 20.20, 32.94, 33.71, 17.90, 23.67, 12.65
20.08. 09:00 ,  0.0,  0.0,  0.0, 28.32, 18.25, 35.50, 21.18, 20.18, 32.94, 33.71, 17.85, 23.67, 12.66
20.08. 09:30 ,  0.1,  0.0,  0.0, 28.32, 18.25, 35.50, 21.18, 20.15, 32.92, 33.68, 17.85, 23.64, 12.64
20.08. 10:00 ,  0.0,  0.0,  0.0, 28.32, 18.20, 35.47, 21.15, 20.15, 32.92, 33.66, 17.83, 23.64, 12.65
20.08. 10:30 ,  0.0,  0.0,  0.0, 28.30, 18.20, 35.47, 21.15, 20.11, 32.92, 33.66, 17.85, 23.64, 12.65
20.08. 11:00 ,  0.0,  0.0,  0.0, 28.30, 18.15, 35.47, 21.13, 20.11, 32.92, 33.63, 17.80, 23.64, 12.65
20.08. 11:30 ,  0.0,  0.0,  0.0, 28.30, 18.15, 35.50, 21.11, 20.08, 32.89, 33.60, 17.78, 23.60, 12.66
20.08. 12:00 ,  0.0,  0.0,  0.0, 28.27, 18.13, 35.47, 21.11, 20.06, 32.89, 33.60, 17.78, 23.60, 12.65
20.08. 12:30 ,  0.0,  0.0,  0.0, 28.27, 18.11, 35.43, 21.08, 20.08, 32.89, 33.63, 17.76, 23.60, 12.65
20.08. 13:00 ,  0.0,  0.0,  0.0, 28.27, 18.08, 35.43, 21.06, 20.04, 32.89, 33.54, 17.73, 23.60, 12.66
20.08. 13:30 ,  0.0,  0.0,  0.0, 28.25, 18.06, 35.47, 21.04, 20.04, 32.86, 33.54, 17.71, 23.60, 12.66
20.08. 14:00 ,  0.0,  0.0,  0.0, 28.22, 18.04, 35.47, 21.02, 20.01, 32.86, 33.51, 17.69, 23.58, 12.66
20.08. 14:30 ,  0.0,  0.0,  0.0, 28.22, 18.04, 35.43, 20.99, 19.97, 32.89, 33.48, 17.66, 23.58, 12.66
20.08. 15:00 ,  0.0,  0.0,  0.0, 28.22, 18.01, 35.43, 20.99, 19.97, 32.86, 33.48, 17.66, 23.53, 12.67
20.08. 15:30 ,  0.0,  0.0,  0.0, 28.19, 17.97, 35.39, 20.97, 19.94, 32.86, 33.46, 17.64, 23.55, 12.67
20.08. 16:00 ,  0.0,  0.0,  0.0, 28.19, 17.97, 35.39, 20.97, 19.94, 32.83, 33.46, 17.64, 23.53, 12.67
20.08. 16:30 ,  0.0,  0.0,  0.0, 28.17, 17.92, 35.39, 20.95, 19.92, 32.83, 33.43, 17.59, 23.53, 12.67
20.08. 17:00 ,  0.0,  0.0,  0.0, 28.17, 17.90, 35.36, 20.92, 19.90, 32.83, 33.43, 17.57, 23.51, 12.67
20.08. 17:30 ,  0.0,  0.0,  0.0, 28.17, 17.90, 35.36, 20.90, 19.87, 32.83, 33.40, 17.57, 23.51, 12.67
20.08. 18:00 ,  0.0,  0.0,  0.0, 28.14, 17.87, 35.39, 20.90, 19.85, 32.83, 33.40, 17.55, 23.51, 12.67
20.08. 18:30 ,  0.0,  0.0,  0.0, 28.12, 17.85, 35.36, 20.85, 19.83, 32.80, 33.34, 17.55, -0.22, 12.67
20.08. 19:00 ,  0.0,  0.0,  0.0, 28.12, 17.83, 35.36, 20.85, 19.83, 32.80, 33.37, 17.55, -0.22, 12.67
20.08. 19:30 ,  0.0,  0.0,  0.0, 28.12, 17.80, 35.32, 20.83, 19.83, 32.77, 33.37, 17.50, -0.22, 12.68
20.08. 20:00 ,  0.0,  0.0,  0.0, 28.12, 17.78, 35.32, 20.83, 19.78, 32.80, 33.34, 17.50, -0.22, 12.67
20.08. 20:30 ,  0.0,  0.0,  0.0, 28.09, 17.78, 35.36, 20.81, 19.78, 32.80, 33.31, 17.50, -0.22, 12.67
20.08. 21:00 ,  0.0,  0.0,  0.0, 28.09, 17.76, 35.32, 20.81, 19.76, 32.77, 33.31, 17.48, -0.22, 12.67
20.08. 21:30 ,  0.0,  0.0,  0.0, 28.07, 17.73, 35.32, 20.78, 19.74, 32.77, 33.29, 17.48, 23.41, 12.66
20.08. 22:00 ,  0.0,  0.0,  0.0, 28.07, 17.69, 35.32, 20.74, 19.71, 32.77, 33.29, 17.45, 23.41, 12.67
20.08. 22:30 ,  0.0,  0.0,  0.0, 28.04, 17.69, 35.32, 20.76, 19.69, 32.74, 33.29, 17.45, 23.41, 12.67
20.08. 23:00 ,  0.0,  0.0,  0.0, 28.04, 17.64, 35.36, 20.74, 19.67, 32.74, 33.26, 17.43, 23.39, 12.67
20.08. 23:30 ,  0.0,  0.0,  0.0, 28.04, 17.64, 35.32, 20.71, 19.67, 32.77, 33.26, 17.43, 23.39, 12.67
21.08. 00:00 ,  0.0,  0.0,  0.0, 28.04, 17.62, 35.28, 20.69, 19.67, 32.74, 33.26, 17.43, 23.37, 12.67
21.08. 00:30 ,  0.0,  0.0,  0.0, 28.02, 17.57, 35.28, 20.69, 19.62, 32.74, 33.23, 17.41, 23.37, 12.66
21.08. 01:00 ,  0.0,  0.0,  0.0, 27.99, 17.57, 35.25, 20.67, 19.60, 32.74, 33.20, 17.41, 23.37, 12.67
21.08. 01:30 ,  0.0,  0.0,  0.0, 28.02, 17.55, 35.28, 20.67, 19.60, 32.74, 33.20, 17.41, 23.34, 12.66
21.08. 02:00 ,  0.0,  0.0,  0.0, 27.99, 17.55, 35.25, 20.62, 19.57, 32.74, 33.20, 17.38, 23.34, 12.67
21.08. 02:30 ,  0.0,  0.0,  0.0, 27.96, 17.52, 35.25, 20.62, 19.57, 32.69, 33.17, 17.38, 23.34, 12.66
21.08. 03:00 ,  0.0,  0.0,  0.0, 27.99, 17.48, 35.21, 20.62, 19.55, 32.72, 33.17, 17.41, 23.32, 12.66
21.08. 03:30 ,  0.0,  0.0,  0.0, 27.96, 17.48, 35.25, 20.57, 19.53, 32.74, 33.14, 17.36, 23.32, 12.66
21.08. 04:00 ,  0.0,  0.0,  0.0, 27.94, 17.48, 35.21, 20.57, 19.53, 32.72, 33.11, 17.34, 23.30, 12.66
21.08. 04:30 ,  0.0,  0.0,  0.0, 27.94, 17.43, 35.17, 20.57, 19.50, 32.69, 33.14, 17.34, 23.30, 12.67
21.08. 05:00 ,  0.0,  0.0,  0.0, 27.94, 17.41, 35.25, 20.55, 19.48, 32.69, 33.11, 17.31, 23.27, 12.66
21.08. 05:30 ,  0.0,  0.0,  0.0, 27.94, 17.41, 35.17, 20.53, 19.46, 32.69, 33.11, 17.31, 23.30, 12.66
21.08. 06:00 ,  0.0,  0.0,  0.0, 27.91, 17.38, 35.21, 20.53, 19.43, 32.72, 33.09, 17.31, 23.27, 12.66
21.08. 06:30 ,  0.0,  0.0,  0.0, 27.91, 17.34, 35.17, 20.50, 19.41, 32.66, 33.09, 17.31, 23.25, 12.66
21.08. 07:00 ,  0.0,  0.0,  0.0, 27.89, 17.34, 35.14, 20.48, 19.41, 32.69, 33.09, 17.31, 23.25, 12.66
21.08. 07:30 ,  0.0,  0.0,  0.0, 27.89, 17.31, 35.14, 20.48, 19.39, 32.66, 33.06, 17.27, 23.23, 12.66
21.08. 08:00 ,  0.0,  0.0,  0.0, 27.89, 17.29, 35.14, 20.46, 19.36, 32.63, 33.06, 17.27, 23.23, 12.66
21.08. 08:30 ,  0.0,  0.0,  0.0, 27.86, 17.27, 35.17, 20.46, 19.34, 32.63, 33.03, 17.24, 23.23, 12.66
21.08. 09:00 ,  0.0,  0.0,  0.0, 27.86, 17.24, 35.14, 20.43, 19.32, 32.63, 33.03, 17.24, 23.20, 12.66
21.08. 09:30 ,  0.0,  0.0,  0.0, 27.86, 17.22, 35.14, 20.43, 19.32, 32.63, 33.00, 17.22, 23.18, 12.66
21.08. 10:00 ,  0.0,  0.0,  0.0, 27.84, 17.20, 35.14, 20.41, 19.29, 32.60, 32.97, 17.22, 23.18, 12.66
21.08. 10:30 ,  0.0,  0.0,  0.0, 27.84, 17.20, 35.10, 20.39, 19.27, 32.63, 32.97, 17.20, 23.18, 12.65
21.08. 11:00 ,  0.0,  0.0,  0.0, 27.84, 17.18, 35.14, 20.36, 19.27, 32.60, 32.94, 17.18, 23.16, 12.65
21.08. 11:30 ,  0.0,  0.0,  0.0, 27.81, 17.15, 35.10, 20.34, 19.25, 32.60, 32.94, 17.18, -0.22, 12.66
21.08. 12:00 ,  0.0,  0.0,  0.0, 27.81, 17.13, 35.10, 20.34, 19.22, 32.57, 32.89, 17.15, -0.22, 12.66
21.08. 12:30 ,  0.0,  0.0,  0.0, 27.79, 17.13, 35.10, 20.32, 19.22, 32.60, 32.89, 17.15, -0.22, 12.66
21.08. 13:00 ,  0.0,  0.0,  0.0, 27.79, 17.11, 35.06, 20.29, 19.20, 32.60, 32.86, 17.13, -0.22, 12.66
21.08. 13:30 ,  0.0,  0.0,  0.0, 27.79, 17.08, 35.06, 20.29, 19.15, 32.57, 32.83, 17.11, -0.22, 12.66
21.08. 14:00 ,  0.0,  0.0,  0.0, 27.76, 17.06, 35.06, 20.27, 19.15, 32.57, 32.80, 17.08, -0.22, 12.65
21.08. 14:30 ,  0.0,  0.0,  0.0, 27.76, 17.04, 35.06, 20.22, 19.13, 32.57, 32.80, 17.06, -0.22, 12.66
21.08. 15:00 ,  0.0,  0.0,  0.0, 27.73, 17.06, 35.10, 20.22, 19.13, 32.55, 32.77, 17.06, -0.22, 12.67
21.08. 15:30 ,  0.0,  0.0,  0.0, 27.73, 17.01, 35.06, 20.20, 19.11, 32.55, 32.74, 17.04, -0.22, 12.67
21.08. 16:00 ,  0.0,  0.0,  0.0, 27.71, 16.99, 35.06, 20.22, 19.08, 32.55, 32.72, 17.01, -0.22, 12.67
21.08. 16:30 ,  0.0,  0.0,  0.0, 27.68, 16.99, 35.06, 20.18, 19.06, 32.52, 32.69, 17.01, -0.22, 12.67
21.08. 17:00 ,  0.0,  0.0,  0.0, 27.68, 16.94, 35.03, 20.15, 19.04, 32.52, 32.72, 16.99, -0.22, 12.67
21.08. 17:30 ,  0.0,  0.0,  0.0, 27.68, 16.92, 35.03, 20.13, 19.01, 32.52, 32.72, 16.99, -0.22, 12.67
21.08. 18:00 ,  0.0,  0.0,  0.0, 27.68, 16.92, 35.03, 20.11, 19.01, 32.52, 32.69, 16.99, -0.22, 12.69
21.08. 18:30 ,  0.0,  0.0,  0.0, 27.66, 16.90, 35.03, 20.11, 18.99, 32.52, 32.63, 16.94, -0.22, 12.67
21.08. 19:00 ,  0.0,  0.0,  0.0, 27.63, 16.87, 34.99, 20.11, 18.99, 32.49, 32.63, 16.92, -0.22, 12.67
21.08. 19:30 ,  0.0,  0.0,  0.0, 27.63, 16.87, 35.03, 20.08, 18.97, 32.52, 32.63, 16.92, -0.22, 12.67
21.08. 20:00 ,  0.0,  0.0,  0.0, 27.63, 16.85, 34.99, 20.06, 18.94, 32.49, 32.60, 16.90, 22.99, 12.67
